Survived,Age,Sex,Class
TRUE,1,male,3
TRUE,1,male,2
TRUE,1,female,3
TRUE,1,female,3
TRUE,1,male,2
TRUE,1,male,2
TRUE,1,male,1
FALSE,1,male,3
TRUE,1,female,3
TRUE,1,male,2
TRUE,1,female,3
FALSE,1,male,3
TRUE,1,male,3
TRUE,1,male,2
FALSE,2,male,3
FALSE,2,male,3
FALSE,2,female,3
TRUE,2,female,3
FALSE,2,female,3
FALSE,2,female,1
TRUE,2,male,2
TRUE,2,female,3
TRUE,2,female,2
FALSE,2,female,3
FALSE,2,male,3
TRUE,3,female,2
TRUE,3,male,2
TRUE,3,male,3
TRUE,3,male,3
FALSE,3,female,3
TRUE,3,male,2
FALSE,3,female,3
TRUE,4,female,3
FALSE,4,male,3
FALSE,4,male,3
TRUE,4,female,3
TRUE,4,male,1
TRUE,4,female,2
TRUE,4,female,3
TRUE,4,male,3
TRUE,4,female,2
FALSE,4,male,3
TRUE,4,male,3
TRUE,5,female,2
FALSE,5,male,3
FALSE,5,male,3
TRUE,5,female,3
TRUE,5,female,3
TRUE,5,female,3
TRUE,6,female,2
TRUE,6,male,3
FALSE,6,female,3
FALSE,7,male,3
TRUE,7,male,3
FALSE,7,male,3
TRUE,7,female,2
FALSE,7,female,3
FALSE,8,female,3
FALSE,8,female,3
TRUE,8,female,2
FALSE,8,female,3
TRUE,8,male,2
FALSE,8,male,3
FALSE,9,female,3
TRUE,9,male,3
FALSE,9,male,3
FALSE,9,male,3
TRUE,9,male,3
FALSE,9,female,3
FALSE,9,female,3
FALSE,9,female,3
FALSE,10,female,3
FALSE,10,male,3
FALSE,11,male,3
FALSE,11,female,3
FALSE,11,male,3
TRUE,11,male,1
TRUE,12,male,3
FALSE,12,female,3
TRUE,13,female,2
TRUE,13,female,3
TRUE,14,female,2
FALSE,14,female,3
TRUE,14,female,3
TRUE,14,female,1
FALSE,14,male,3
FALSE,14,male,3
FALSE,14,female,3
FALSE,15,female,3
TRUE,15,female,3
FALSE,15,male,3
TRUE,15,female,1
TRUE,15,female,3
TRUE,15,female,3
FALSE,16,male,3
FALSE,16,female,3
FALSE,16,male,3
FALSE,16,male,3
TRUE,16,female,3
TRUE,16,female,3
TRUE,16,male,3
FALSE,16,male,3
FALSE,16,male,3
TRUE,16,female,1
FALSE,16,male,3
TRUE,16,female,1
FALSE,16,male,3
FALSE,16,male,3
TRUE,16,female,3
FALSE,16,male,3
FALSE,16,male,3
FALSE,16,male,2
FALSE,16,male,2
TRUE,16,female,1
TRUE,17,female,3
TRUE,17,female,2
FALSE,17,female,3
FALSE,17,male,3
FALSE,17,male,3
TRUE,17,female,1
TRUE,17,female,2
FALSE,17,male,3
FALSE,17,male,3
FALSE,17,male,3
FALSE,17,male,3
FALSE,17,male,3
TRUE,17,male,1
FALSE,17,male,3
TRUE,17,female,1
FALSE,17,male,3
TRUE,18,female,3
TRUE,18,male,3
FALSE,18,female,3
FALSE,18,female,3
FALSE,18,male,2
FALSE,18,male,3
TRUE,18,male,3
FALSE,18,male,2
TRUE,18,female,3
FALSE,18,male,3
TRUE,18,female,1
FALSE,18,male,3
FALSE,18,male,2
TRUE,18,female,2
FALSE,18,male,3
FALSE,18,male,1
FALSE,18,male,3
FALSE,18,female,3
TRUE,18,female,1
FALSE,18,male,3
TRUE,18,female,3
FALSE,18,male,3
TRUE,18,female,2
FALSE,18,female,3
FALSE,18,male,3
TRUE,18,female,3
FALSE,18,male,3
TRUE,18,female,1
FALSE,18,female,3
FALSE,18,male,2
FALSE,18,male,3
TRUE,18,female,3
FALSE,18,female,3
FALSE,18,male,3
FALSE,18,male,3
TRUE,18,female,3
FALSE,19,male,1
TRUE,19,female,3
FALSE,19,male,3
FALSE,19,male,3
FALSE,19,male,3
TRUE,19,female,1
FALSE,19,male,3
FALSE,19,male,2
FALSE,19,male,2
TRUE,19,female,3
TRUE,19,male,2
FALSE,19,male,2
FALSE,19,female,3
TRUE,19,male,3
TRUE,19,female,1
FALSE,19,male,3
FALSE,19,male,3
FALSE,19,male,3
FALSE,19,male,3
TRUE,19,female,2
FALSE,19,male,3
TRUE,19,female,2
FALSE,19,male,3
FALSE,19,male,3
FALSE,19,male,3
FALSE,19,male,2
FALSE,19,male,3
TRUE,19,female,3
FALSE,19,male,3
FALSE,19,male,1
TRUE,19,male,3
FALSE,19,male,3
TRUE,19,female,1
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,female,3
FALSE,20,male,3
TRUE,20,female,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,female,3
FALSE,20,male,3
TRUE,20,male,3
FALSE,20,male,3
TRUE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
TRUE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,20,male,3
FALSE,21,male,3
FALSE,21,male,3
FALSE,21,male,3
TRUE,21,female,2
FALSE,21,male,2
FALSE,21,male,1
TRUE,21,female,3
FALSE,21,male,3
FALSE,21,male,2
FALSE,21,male,3
TRUE,21,female,3
FALSE,21,female,3
FALSE,21,female,3
FALSE,21,male,2
TRUE,21,male,3
FALSE,21,female,3
FALSE,21,male,3
FALSE,21,male,3
FALSE,21,female,3
FALSE,21,male,2
FALSE,21,male,3
FALSE,21,male,3
FALSE,21,female,3
FALSE,21,female,3
FALSE,21,male,3
FALSE,21,male,3
FALSE,21,male,3
FALSE,21,male,3
TRUE,21,female,1
FALSE,21,male,3
FALSE,21,male,3
TRUE,21,female,1
FALSE,21,female,3
FALSE,21,male,3
FALSE,21,male,2
FALSE,22,male,3
TRUE,22,female,3
FALSE,22,male,3
FALSE,22,male,3
FALSE,22,male,3
FALSE,22,male,3
TRUE,22,female,3
TRUE,22,female,1
FALSE,22,male,3
FALSE,22,male,3
FALSE,22,male,3
FALSE,22,male,3
FALSE,22,male,3
FALSE,22,male,3
TRUE,22,female,3
FALSE,22,male,3
TRUE,22,female,2
TRUE,22,female,1
TRUE,22,female,3
TRUE,22,female,3
FALSE,22,male,1
TRUE,22,female,3
FALSE,22,male,3
FALSE,22,male,2
FALSE,22,male,3
FALSE,22,female,3
FALSE,22,male,3
FALSE,22,male,3
TRUE,22,female,1
TRUE,22,male,3
TRUE,22,female,3
TRUE,22,female,3
FALSE,22,male,3
FALSE,22,male,3
TRUE,22,female,2
FALSE,22,male,3
TRUE,22,female,1
FALSE,22,male,3
FALSE,22,female,3
TRUE,23,male,2
FALSE,23,male,3
FALSE,23,male,3
TRUE,23,female,1
TRUE,23,male,1
FALSE,23,male,2
FALSE,23,male,3
FALSE,23,male,3
TRUE,23,female,3
TRUE,23,female,1
FALSE,23,male,2
TRUE,23,female,2
FALSE,23,male,2
TRUE,23,female,3
FALSE,23,male,3
FALSE,23,male,2
FALSE,23,male,2
FALSE,23,male,2
FALSE,23,male,3
FALSE,23,male,3
FALSE,23,female,3
